2026-05-03 17:03:02 | __main__             | INFO     | [VALIDACION] Validando dataset...
2026-05-03 17:03:02 | __main__             | INFO     | [OK]   Dataset no vacío
2026-05-03 17:03:02 | __main__             | INFO     | [OK]   Sin duplicados (crypto + open_time)
2026-05-03 17:03:02 | __main__             | INFO     | [OK]   Columna 'crypto' existe
2026-05-03 17:03:02 | __main__             | INFO     | [OK]   Columna 'open_time' existe
2026-05-03 17:03:02 | __main__             | INFO     | [OK]   Columna 'open_price' existe
2026-05-03 17:03:02 | __main__             | INFO     | [OK]   Columna 'high_price' existe
2026-05-03 17:03:02 | __main__             | INFO     | [OK]   Columna 'low_price' existe
2026-05-03 17:03:02 | __main__             | INFO     | [OK]   Columna 'close_price' existe
2026-05-03 17:03:02 | __main__             | INFO     | [OK]   Columna 'volume' existe
2026-05-03 17:03:02 | __main__             | INFO     | [OK]   Columna 'close_time' existe
2026-05-03 17:03:02 | __main__             | INFO     | [OK]   Columna 'market_cap' existe
2026-05-03 17:03:02 | __main__             | INFO     | [OK]   Sin nulos en open_price
2026-05-03 17:03:02 | __main__             | INFO     | [OK]   Sin nulos en close_price
2026-05-03 17:03:02 | __main__             | INFO     | [OK]   Sin nulos en volume
2026-05-03 17:03:02 | __main__             | INFO     | [OK]   Precios > 0
2026-05-03 17:03:02 | __main__             | INFO     | [OK]   Volumen >= 0
2026-05-03 17:03:02 | __main__             | INFO     | [OK]   high_price >= low_price
2026-05-03 17:03:02 | __main__             | INFO     | [OK]   Datos recientes (< 7 días)
2026-05-03 17:03:02 | __main__             | INFO     | [OK]   Exactamente 5 cryptos
2026-05-03 17:03:02 | __main__             | INFO     | [OK]   Filas por crypto uniformes
2026-05-03 17:03:02 | __main__             | INFO     | [FEATURES] Construyendo dataset con features...
2026-05-03 17:03:02 | __main__             | WARNING  | [FEATURES] findspark no disponible, asumiendo Spark en PATH
2026-05-03 17:03:08 | __main__             | INFO     | [FEATURES] SparkSession iniciada — versión 4.1.1
2026-05-03 17:03:08 | __main__             | INFO     | [FEATURES] Leyendo: C:\Users\Usuario\Desktop\tfm-ia\data\processed\data_lake\all_cryptos.parquet
2026-05-03 17:03:11 | __main__             | INFO     | [FEATURES] Filas cargadas: 43760
2026-05-03 17:03:11 | __main__             | INFO     | [FEATURES] Schema de entrada:
2026-05-03 17:03:11 | __main__             | INFO     | [FEATURES] Eliminando columnas irrelevantes...
2026-05-03 17:03:11 | __main__             | INFO     | [FEATURES] Calculando variaciones porcentuales...
2026-05-03 17:03:12 | __main__             | INFO     | [FEATURES] Calculando volatilidad 30d...
2026-05-03 17:03:12 | __main__             | INFO     | [FEATURES] Calculando RSI 14...
2026-05-03 17:03:12 | __main__             | INFO     | [FEATURES] Calculando volumen acumulado 24h...
2026-05-03 17:03:12 | __main__             | INFO     | [FEATURES] Extrayendo features temporales...
2026-05-03 17:03:12 | __main__             | INFO     | [FEATURES] Codificando columna 'crypto'...
2026-05-03 17:03:12 | __main__             | INFO     | [FEATURES] Schema final:
2026-05-03 17:03:16 | __main__             | INFO     | [FEATURES] Guardando en: C:\Users\Usuario\Desktop\tfm-ia\data\ml\features\all_cryptos_ml.parquet
2026-05-03 17:03:19 | __main__             | INFO     | [FEATURES] Ruta: C:\Users\Usuario\Desktop\tfm-ia\data\ml\features\all_cryptos_ml.parquet
2026-05-03 17:03:19 | __main__             | INFO     | [FEATURES] SparkSession cerrada
