2026-05-02 19:10:21 | src.backend.main     | INFO     | [API] Predicción solicitada para bitcoin
2026-05-02 19:10:21 | src.backend.utils    | INFO     | [UTILS] Cargando modelo desde C:\Users\Usuario\Desktop\tfm-ia\data\models\model.pkl
2026-05-02 19:10:22 | src.backend.main     | INFO     | [API] Predicción completada para bitcoin
2026-05-02 19:10:27 | src.backend.main     | INFO     | [API] Predicción solicitada para ethereum
2026-05-02 19:10:27 | src.backend.utils    | INFO     | [UTILS] Cargando modelo desde C:\Users\Usuario\Desktop\tfm-ia\data\models\model.pkl
2026-05-02 19:10:27 | src.backend.main     | INFO     | [API] Predicción completada para ethereum
2026-05-02 19:10:31 | src.backend.main     | INFO     | [API] Predicción solicitada para ripple
2026-05-02 19:10:31 | src.backend.utils    | INFO     | [UTILS] Cargando modelo desde C:\Users\Usuario\Desktop\tfm-ia\data\models\model.pkl
2026-05-02 19:10:31 | src.backend.main     | INFO     | [API] Predicción completada para ripple
2026-05-02 19:10:33 | src.backend.main     | INFO     | [API] Predicción solicitada para ripple
2026-05-02 19:10:33 | src.backend.utils    | INFO     | [UTILS] Cargando modelo desde C:\Users\Usuario\Desktop\tfm-ia\data\models\model.pkl
2026-05-02 19:10:33 | src.backend.main     | INFO     | [API] Predicción completada para ripple
2026-05-02 19:10:35 | src.backend.main     | INFO     | [API] Predicción solicitada para binancecoin
2026-05-02 19:10:35 | src.backend.utils    | INFO     | [UTILS] Cargando modelo desde C:\Users\Usuario\Desktop\tfm-ia\data\models\model.pkl
2026-05-02 19:10:35 | src.backend.main     | INFO     | [API] Predicción completada para binancecoin
2026-05-02 19:10:38 | src.backend.main     | INFO     | [API] Predicción solicitada para ripple
2026-05-02 19:10:38 | src.backend.utils    | INFO     | [UTILS] Cargando modelo desde C:\Users\Usuario\Desktop\tfm-ia\data\models\model.pkl
2026-05-02 19:10:38 | src.backend.main     | INFO     | [API] Predicción completada para ripple
2026-05-02 19:10:40 | src.backend.main     | INFO     | [API] Predicción solicitada para bitcoin
2026-05-02 19:10:40 | src.backend.utils    | INFO     | [UTILS] Cargando modelo desde C:\Users\Usuario\Desktop\tfm-ia\data\models\model.pkl
2026-05-02 19:10:40 | src.backend.main     | INFO     | [API] Predicción completada para bitcoin
