2026-05-02 18:27:02 | __main__             | INFO     | 
2026-05-02 18:27:02 | __main__             | INFO     | ============================================================
2026-05-02 18:27:02 | __main__             | INFO     | INICIANDO PIPELINE MAESTRO
2026-05-02 18:27:02 | __main__             | INFO     | ============================================================
2026-05-02 18:27:02 | __main__             | INFO     | 
2026-05-02 18:27:02 | __main__             | INFO     | ============================================================
2026-05-02 18:27:02 | __main__             | INFO     | >> [1]   Ingesta
2026-05-02 18:27:02 | __main__             | INFO     | ============================================================
2026-05-02 18:27:02 | __main__             | ERROR    | [FAIL] Script no encontrado: C:\Users\Usuario\Desktop\tfm-ia\src\data_pipeline_Clau\ingest.py
2026-05-02 18:27:02 | __main__             | ERROR    | 
2026-05-02 18:27:02 | __main__             | ERROR    | [PARADO] Pipeline detenido en: [1]   Ingesta
2026-05-02 18:27:02 | __main__             | ERROR    | Revisa el error arriba antes de continuar
2026-05-02 18:27:02 | __main__             | INFO     | 
2026-05-02 18:27:02 | __main__             | INFO     | ============================================================
2026-05-02 18:27:02 | __main__             | INFO     | Etapas completadas : 0/7
2026-05-02 18:27:02 | __main__             | INFO     | Tiempo total       : 0.00s
2026-05-02 18:27:02 | __main__             | INFO     | ============================================================
