2026-05-03 17:02:15 | __main__             | INFO     | 
2026-05-03 17:02:15 | __main__             | INFO     | ============================================================
2026-05-03 17:02:15 | __main__             | INFO     | INICIANDO PIPELINE MAESTRO
2026-05-03 17:02:15 | __main__             | INFO     | ============================================================
2026-05-03 17:02:15 | __main__             | INFO     | 
2026-05-03 17:02:15 | __main__             | INFO     | ============================================================
2026-05-03 17:02:15 | __main__             | INFO     | >> [1]   Ingesta
2026-05-03 17:02:15 | __main__             | INFO     | ============================================================
2026-05-03 17:03:01 | __main__             | INFO     | [OK] [1]   Ingesta completada en 45.49s
2026-05-03 17:03:01 | __main__             | INFO     | 
2026-05-03 17:03:01 | __main__             | INFO     | ============================================================
2026-05-03 17:03:01 | __main__             | INFO     | >> [2]   Transformacion
2026-05-03 17:03:01 | __main__             | INFO     | ============================================================
2026-05-03 17:03:01 | __main__             | INFO     | [OK] [2]   Transformacion completada en 0.78s
2026-05-03 17:03:01 | __main__             | INFO     | 
2026-05-03 17:03:01 | __main__             | INFO     | ============================================================
2026-05-03 17:03:01 | __main__             | INFO     | >> [2.5] Validacion
2026-05-03 17:03:01 | __main__             | INFO     | ============================================================
2026-05-03 17:03:02 | __main__             | INFO     | [OK] [2.5] Validacion completada en 0.62s
2026-05-03 17:03:02 | __main__             | INFO     | 
2026-05-03 17:03:02 | __main__             | INFO     | ============================================================
2026-05-03 17:03:02 | __main__             | INFO     | >> [3]   Features
2026-05-03 17:03:02 | __main__             | INFO     | ============================================================
2026-05-03 17:03:19 | __main__             | INFO     | [OK] [3]   Features completada en 17.41s
2026-05-03 17:03:19 | __main__             | INFO     | 
2026-05-03 17:03:19 | __main__             | INFO     | ============================================================
2026-05-03 17:03:19 | __main__             | INFO     | >> [4]   Entrenamiento
2026-05-03 17:03:19 | __main__             | INFO     | ============================================================
2026-05-03 17:03:22 | __main__             | INFO     | [OK] [4]   Entrenamiento completada en 2.54s
2026-05-03 17:03:22 | __main__             | INFO     | 
2026-05-03 17:03:22 | __main__             | INFO     | ============================================================
2026-05-03 17:03:22 | __main__             | INFO     | >> [4.1] Reentrenamiento
2026-05-03 17:03:22 | __main__             | INFO     | ============================================================
2026-05-03 17:03:25 | __main__             | INFO     | [OK] [4.1] Reentrenamiento completada en 3.14s
2026-05-03 17:03:25 | __main__             | INFO     | 
2026-05-03 17:03:25 | __main__             | INFO     | ============================================================
2026-05-03 17:03:25 | __main__             | INFO     | >> [4.5] Evaluacion
2026-05-03 17:03:25 | __main__             | INFO     | ============================================================
2026-05-03 17:03:28 | __main__             | INFO     | [OK] [4.5] Evaluacion completada en 3.03s
2026-05-03 17:03:28 | __main__             | INFO     | 
2026-05-03 17:03:28 | __main__             | INFO     | ============================================================
2026-05-03 17:03:28 | __main__             | INFO     | Etapas completadas : 7/7
2026-05-03 17:03:28 | __main__             | INFO     | Tiempo total       : 73.02s
2026-05-03 17:03:28 | __main__             | INFO     | [EXITO] Pipeline completado correctamente
2026-05-03 17:03:28 | __main__             | INFO     | ============================================================
